dx = 0.010000, dy = 0.010204
t = 0.100000
0.375000 0.709184 0.461540
0.375000 0.719388 0.467369
0.375000 0.729592 0.468098
0.375000 0.739796 0.463633
0.375000 0.750000 0.454016
0.375000 0.760204 0.439371
0.375000 0.770408 0.419953
0.375000 0.780612 0.396135
0.375000 0.790816 0.368404
0.375000 0.801020 0.337337
0.375000 0.811224 0.303561
0.375000 0.821429 0.267757
0.375000 0.831633 0.230712
0.375000 0.841837 0.193394
0.375000 0.852041 0.156969
0.375000 0.862245 0.122374
0.385000 0.576531 0.105516
0.385000 0.586735 0.136299
0.385000 0.596939 0.169988
0.385000 0.607143 0.204531
0.385000 0.617347 0.239842
0.385000 0.627551 0.275275
0.385000 0.637755 0.309653
0.385000 0.647959 0.342978
0.385000 0.658163 0.373876
0.385000 0.668367 0.402050
0.385000 0.678571 0.427027
0.385000 0.688776 0.448185
0.385000 0.698980 0.465061
0.385000 0.709184 0.477325
0.385000 0.719388 0.484652
0.385000 0.729592 0.486841
0.385000 0.739796 0.483787
0.385000 0.750000 0.475471
0.385000 0.760204 0.461992
0.385000 0.770408 0.443548
0.385000 0.780612 0.420444
0.385000 0.790816 0.393096
0.385000 0.801020 0.362040
0.385000 0.811224 0.327947
0.385000 0.821429 0.291605
0.385000 0.831633 0.253858
0.385000 0.841837 0.215535
0.385000 0.852041 0.177444
0.385000 0.862245 0.140643
0.385000 0.872449 0.106410
0.395000 0.576531 0.104204
0.395000 0.586735 0.135005
0.395000 0.596939 0.168661
0.395000 0.607143 0.203154
0.395000 0.617347 0.238887
0.395000 0.627551 0.274436
0.395000 0.637755 0.309568
0.395000 0.647959 0.343253
0.395000 0.658163 0.375005
0.395000 0.668367 0.404345
0.395000 0.678571 0.430396
0.395000 0.688776 0.452805
0.395000 0.698980 0.471076
0.395000 0.709184 0.484785
0.395000 0.719388 0.493624
0.395000 0.729592 0.497345
0.395000 0.739796 0.495796
0.395000 0.750000 0.488932
0.395000 0.760204 0.476807
0.395000 0.770408 0.459590
0.395000 0.780612 0.437566
0.395000 0.790816 0.411135
0.395000 0.801020 0.380800
0.395000 0.811224 0.347154
0.395000 0.821429 0.310882
0.395000 0.831633 0.272781
0.395000 0.841837 0.233771
0.395000 0.852041 0.194869
0.395000 0.862245 0.156991
0.395000 0.872449 0.120986
0.405000 0.586735 0.129734
0.405000 0.596939 0.162741
0.405000 0.607143 0.196771
0.405000 0.617347 0.232223
0.405000 0.627551 0.267622
0.405000 0.637755 0.302798
0.405000 0.647959 0.336724
0.405000 0.658163 0.369087
0.405000 0.668367 0.398887
0.405000 0.678571 0.425862
0.405000 0.688776 0.449315
0.405000 0.698980 0.468791
0.405000 0.709184 0.483874
0.405000 0.719388 0.494200
0.405000 0.729592 0.499498
0.405000 0.739796 0.499586
0.405000 0.750000 0.494373
0.405000 0.760204 0.483875
0.405000 0.770408 0.468214
0.405000 0.780612 0.447625
0.405000 0.790816 0.422458
0.405000 0.801020 0.393177
0.405000 0.811224 0.360366
0.405000 0.821429 0.324720
0.405000 0.831633 0.287012
0.405000 0.841837 0.248078
0.405000 0.852041 0.208809
0.405000 0.862245 0.170224
0.405000 0.872449 0.133397
0.415000 0.586735 0.120939
0.415000 0.596939 0.152680
0.415000 0.607143 0.185924
0.415000 0.617347 0.220408
0.415000 0.627551 0.255364
0.415000 0.637755 0.290005
0.415000 0.647959 0.323931
0.415000 0.658163 0.356193
0.415000 0.668367 0.386480
0.415000 0.678571 0.413987
0.415000 0.688776 0.438263
0.415000 0.698980 0.458785
0.415000 0.709184 0.475104
0.415000 0.719388 0.486844
0.415000 0.729592 0.493698
0.415000 0.739796 0.495448
0.415000 0.750000 0.491967
0.415000 0.760204 0.483230
0.415000 0.770408 0.469323
0.415000 0.780612 0.450440
0.415000 0.790816 0.426895
0.415000 0.801020 0.399110
0.415000 0.811224 0.367619
0.415000 0.821429 0.333059
0.415000 0.831633 0.296173
0.415000 0.841837 0.257801
0.415000 0.852041 0.218857
0.415000 0.862245 0.180280
0.415000 0.872449 0.143036
0.415000 0.882653 0.108194
0.425000 0.586735 0.109248
0.425000 0.596939 0.139202
0.425000 0.607143 0.171201
0.425000 0.617347 0.204329
0.425000 0.627551 0.238232
0.425000 0.637755 0.272151
0.425000 0.647959 0.305411
0.425000 0.658163 0.337524
0.425000 0.668367 0.367731
0.425000 0.678571 0.395551
0.425000 0.688776 0.420387
0.425000 0.698980 0.441732
0.425000 0.709184 0.459125
0.425000 0.719388 0.472161
0.425000 0.729592 0.480506
0.425000 0.739796 0.483908
0.425000 0.750000 0.482204
0.425000 0.760204 0.475332
0.425000 0.770408 0.463331
0.425000 0.780612 0.446357
0.425000 0.790816 0.424675
0.425000 0.801020 0.398669
0.425000 0.811224 0.368837
0.425000 0.821429 0.335783
0.425000 0.831633 0.300214
0.425000 0.841837 0.262921
0.425000 0.852041 0.224772
0.425000 0.862245 0.186711
0.425000 0.872449 0.149721
0.425000 0.882653 0.114774
0.435000 0.596939 0.123255
0.435000 0.607143 0.153294
0.435000 0.617347 0.184872
0.435000 0.627551 0.217258
0.435000 0.637755 0.249965
0.435000 0.647959 0.282350
0.435000 0.658163 0.313772
0.435000 0.668367 0.343689
0.435000 0.678571 0.371481
0.435000 0.688776 0.396608
0.435000 0.698980 0.418546
0.435000 0.709184 0.436813
0.435000 0.719388 0.450986
0.435000 0.729592 0.460706
0.435000 0.739796 0.465690
0.435000 0.750000 0.465739
0.435000 0.760204 0.460755
0.435000 0.770408 0.450738
0.435000 0.780612 0.435801
0.435000 0.790816 0.416171
0.435000 0.801020 0.392188
0.435000 0.811224 0.364305
0.435000 0.821429 0.333086
0.435000 0.831633 0.299195
0.435000 0.841837 0.263395
0.435000 0.852041 0.226525
0.435000 0.862245 0.189485
0.435000 0.872449 0.153223
0.435000 0.882653 0.118723
0.445000 0.596939 0.105579
0.445000 0.607143 0.133380
0.445000 0.617347 0.162837
0.445000 0.627551 0.193448
0.445000 0.637755 0.224571
0.445000 0.647959 0.255658
0.445000 0.658163 0.286124
0.445000 0.668367 0.315373
0.445000 0.678571 0.342844
0.445000 0.688776 0.367978
0.445000 0.698980 0.390248
0.445000 0.709184 0.409164
0.445000 0.719388 0.424283
0.445000 0.729592 0.435222
0.445000 0.739796 0.441670
0.445000 0.750000 0.443399
0.445000 0.760204 0.440272
0.445000 0.770408 0.432253
0.445000 0.780612 0.419416
0.445000 0.790816 0.401945
0.445000 0.801020 0.380139
0.445000 0.811224 0.354411
0.445000 0.821429 0.325283
0.445000 0.831633 0.293381
0.445000 0.841837 0.259423
0.445000 0.852041 0.224210
0.445000 0.862245 0.188612
0.445000 0.872449 0.153549
0.445000 0.882653 0.119965
0.455000 0.607143 0.112274
0.455000 0.617347 0.139372
0.455000 0.627551 0.167791
0.455000 0.637755 0.197020
0.455000 0.647959 0.226490
0.455000 0.658163 0.255645
0.455000 0.668367 0.283924
0.455000 0.678571 0.310763
0.455000 0.688776 0.335614
0.455000 0.698980 0.357947
0.455000 0.709184 0.377263
0.455000 0.719388 0.393106
0.455000 0.729592 0.405073
0.455000 0.739796 0.412827
0.455000 0.750000 0.416111
0.455000 0.760204 0.414756
0.455000 0.770408 0.408690
0.455000 0.780612 0.397950
0.455000 0.790816 0.382680
0.455000 0.801020 0.363141
0.455000 0.811224 0.339702
0.455000 0.821429 0.312846
0.455000 0.831633 0.283157
0.455000 0.841837 0.251312
0.455000 0.852041 0.218074
0.455000 0.862245 0.184273
0.455000 0.872449 0.150790
0.455000 0.882653 0.118543
0.465000 0.617347 0.115396
0.465000 0.627551 0.141369
0.465000 0.637755 0.168385
0.465000 0.647959 0.195933
0.465000 0.658163 0.223477
0.465000 0.668367 0.250476
0.465000 0.678571 0.276384
0.465000 0.688776 0.300660
0.465000 0.698980 0.322777
0.465000 0.709184 0.342231
0.465000 0.719388 0.358554
0.465000 0.729592 0.371328
0.465000 0.739796 0.380195
0.465000 0.750000 0.384870
0.465000 0.760204 0.385155
0.465000 0.770408 0.380947
0.465000 0.780612 0.372245
0.465000 0.790816 0.359158
0.465000 0.801020 0.341907
0.465000 0.811224 0.320824
0.465000 0.821429 0.296350
0.465000 0.831633 0.269028
0.465000 0.841837 0.239495
0.465000 0.852041 0.208472
0.465000 0.862245 0.176748
0.465000 0.872449 0.145166
0.465000 0.882653 0.114605
0.475000 0.627551 0.115160
0.475000 0.637755 0.139709
0.475000 0.647959 0.165059
0.475000 0.658163 0.190708
0.475000 0.668367 0.216141
0.475000 0.678571 0.240829
0.475000 0.688776 0.264243
0.475000 0.698980 0.285862
0.475000 0.709184 0.305182
0.475000 0.719388 0.321728
0.475000 0.729592 0.335068
